voltage current
0.0 0.0
0.5 0.024622583018826805
1.0 0.030137467072485186
1.5 0.073597904594552
2.0 0.08889264504403813
2.5 0.12399147905759039
3.0 0.1441837430664787
3.5 0.11710445518081906
4.0 0.23149945668221925
4.5 0.2099161164814378
5.0 0.2804608109013857
5.5 0.29488924919434784
6.0 0.374167630589526
6.5 0.3153011630443429
7.0 0.2799094388098678
7.5 0.37675055900833854
8.0 0.3633889099166405
8.5 0.4965626299571659
9.0 0.4366777740972727
9.5 0.5557754992763733
10.0 0.36119424660252475
10.5 0.5787745657432957
11.0 0.5244313652567868
11.5 0.5353749218066816
12.0 0.5242314047198181
