years kilograms
100 14.574394006677405
1100 12.033888257561099
2100 9.285867517536655
3100 10.729430826097719
4100 8.935043395392894
5100 8.282394293182753
6100 6.653710271854222
7100 6.539086837779873
8100 7.009932477444477
9100 6.42033591822028
10100 4.387166554588513
11100 4.000854296926156
12100 3.611418315390573
13100 3.619342381192069
14100 2.0957733112025463
15100 2.329332209006218
16100 2.114346069305635
17100 1.6478378007653196
18100 2.06147442796582
19100 1.269110672851338
20100 1.1364916227296578
21100 1.1946785978691612
22100 0.8705189077377401
23100 0.8232421286511128
24100 1.0282013202728055
25100 0.6671532249138683
26100 0.7990709067286265
27100 0.6261831136104751
28100 0.6081085686397757
29100 0.3796107576449206
30100 0.39072620678456177
31100 0.41554244592878836
32100 0.3145117871586231
33100 0.2583736184210839
34100 0.2012497907227174
